LOAD,00000000
STORE,00000001
SAVE,00000010
INC,00000011
DEC,00000100
ADD,00000101
SUB,00000110
MUL,00000111
DIV,00001000
CMP,00001001	
AND,00001010
OR,00001011
NOT,00001100
XOR,00001101
JE,00001110
JG,00001111
JL,00010000
JMP,00010001
MAR0,00000000
MAR1,00000001	
R0,00000010
R1,00000011
R2,00000100
R3,00000101
R4,00000110
R5,00000111
R6,00001000
R7,00001001
